iter	RMSE
0	186798.325
1	178753.6423
2	170516.4811
3	162983.5322
4	156083.4274
5	149285.2334
6	143504.0675
7	137315.012
8	131421.4299
9	125756.7951
10	121080.5834
11	116330.1107
12	111726.35
13	107277.3365
14	103090.8895
15	99373.54938
16	95748.7654
17	92506.75908
18	89768.67234
19	86493.87442
20	83844.22681
21	81308.95166
22	79024.28677
23	76552.99013
24	74185.34927
25	72260.0543
26	69952.63648
27	67930.11901
28	65892.12463
29	64215.45263
30	62264.92359
31	60873.79155
32	59449.44697
33	58375.04097
34	57244.1175
35	56163.55912
36	54717.90393
37	53340.26795
38	52032.04742
39	50791.27391
40	49831.15088
41	48819.18769
42	47934.47653
43	47014.36485
44	45989.20205
45	45053.76129
46	44332.71716
47	43558.20467
48	42571.1075
49	41797.50856
50	40997.94682
51	40204.80546
52	39420.22317
53	38770.66534
54	38048.72739
55	37371.03455
56	36698.30702
57	36061.97566
58	35424.64604
59	34719.76067
60	34172.68997
61	33607.86115
62	33114.71967
63	32772.26639
64	32288.70652
65	31802.16408
66	31202.18084
67	30660.27209
68	30196.49859
69	29603.33534
70	29140.49244
71	28657.04991
72	28138.12575
73	27687.44982
74	27236.86096
75	26854.99038
76	26451.84594
77	26003.90409
78	25558.90422
79	25185.03982
80	24698.93544
81	24380.14118
82	24052.3556
83	23959.53006
84	23601.99706
85	23245.77984
86	22878.84496
87	22582.38759
88	22262.07708
89	21890.69032
90	21611.22491
91	21303.37129
92	21026.33606
93	20759.69132
94	20470.21694
95	20173.17587
96	19896.09627
97	19620.69059
98	19321.76406
99	19111.58159
100	18864.52939
101	18600.39333
102	18340.34453
103	18092.05998
104	17852.56565
105	17663.40222
106	17414.12858
107	17136.69373
108	16883.48694
109	16746.55422
110	16509.37307
111	16304.49367
112	16051.79068
113	15803.13813
114	15611.0917
115	15491.21943
116	15276.11574
117	15093.73593
118	14978.35109
119	14817.59751
120	14646.72589
121	14461.04345
122	14295.79623
123	14132.86593
124	14036.75277
125	13881.50385
126	13727.82828
127	13561.57158
128	13416.8331
129	13261.58419
130	13096.72325
131	13014.94855
132	12879.70686
133	12752.77196
134	12601.97492
135	12420.70898
136	12175.22188
137	11997.16115
138	11853.83708
139	11737.59766
140	11607.26875
141	11454.90438
142	11340.81498
143	11130.07923
144	11024.3116
145	10910.60788
146	10812.25375
147	10621.53299
148	10506.72145
149	10402.53745
150	10250.7384
151	10132.91706
152	10027.65896
153	9915.283823
154	9775.363584
155	9685.647359
156	9602.152938
157	9505.925223
158	9418.774864
159	9330.1815
160	9250.64052
161	9176.92543
162	9103.065823
163	8972.109802
164	8834.258145
165	8765.132743
166	8679.639778
167	8611.290978
168	8546.479406
169	8404.793443
170	8332.24742
171	8271.574993
172	8149.386465
173	8083.445438
174	7967.503674
175	7925.738912
176	7836.070881
177	7766.808546
178	7661.854377
179	7598.087782
180	7537.203514
181	7486.429309
182	7427.406796
183	7378.817815
184	7279.021631
185	7221.482525
186	7180.32701
187	7081.039154
188	6984.201735
189	6937.03075
190	6897.293624
191	6859.554925
192	6820.082895
193	6777.225804
194	6706.9018
195	6676.988157
196	6633.315325
197	6605.488262
198	6561.005922
199	6504.881469
200	6423.459658
201	6351.215286
202	6310.034058
203	6243.640528
204	6197.887088
205	6161.919292
206	6124.116326
207	6088.245083
208	6043.80884
209	6018.027541
210	5980.607466
211	5948.159437
212	5903.648406
213	5888.048362
214	5856.939302
215	5786.542686
216	5734.107062
217	5665.554415
218	5617.666763
219	5588.89952
220	5561.208518
221	5534.221109
222	5493.23991
223	5464.575783
224	5412.853831
225	5357.780218
226	5333.726763
227	5308.754134
228	5286.212205
229	5236.566005
230	5215.027738
231	5171.33931
232	5147.186524
233	5127.347176
234	5084.449771
235	5045.744869
236	5019.439661
237	5001.163981
238	4981.368007
239	4939.711565
240	4923.239223
241	4890.077165
242	4873.610995
243	4832.481813
244	4789.174497
245	4760.568735
246	4738.860318
247	4724.093764
248	4709.99671
249	4695.225385
250	4658.918005
251	4621.941842
252	4608.439799
253	4595.397545
254	4567.424104
255	4552.30506
256	4540.009376
257	4527.226271
258	4490.855944
259	4472.847396
260	4458.722608
261	4435.941821
262	4409.545396
263	4386.260851
264	4354.508054
265	4328.064627
266	4318.060661
267	4300.039658
268	4288.864721
269	4255.794685
270	4233.969327
271	4213.506717
272	4202.869304
273	4183.698776
274	4175.04897
275	4150.56632
276	4122.665933
277	4102.690585
278	4075.585681
279	4067.20256
280	4046.809085
281	4031.366984
282	4006.01604
283	3984.176177
284	3952.801777
285	3945.262777
286	3937.761894
287	3926.886354
288	3919.396237
289	3903.685233
290	3881.090297
291	3868.206756
292	3854.034033
293	3838.671016
294	3832.040468
295	3804.272946
296	3786.411739
297	3764.190283
298	3740.142739
299	3714.82292
300	3701.52041
301	3681.685512
302	3660.344789
303	3646.11881
304	3625.383429
305	3618.553981
306	3595.013103
307	3566.782938
308	3545.806214
309	3534.727057
310	3519.877084
311	3497.431514
312	3470.358855
313	3465.115197
314	3454.878534
315	3436.840675
316	3419.733321
317	3403.963274
318	3391.399281
319	3378.095838
320	3367.21132
321	3351.314879
322	3342.629155
323	3339.776498
324	3320.365657
325	3306.100422
326	3290.474452
327	3278.659416
328	3262.21563
329	3247.229202
330	3229.635132
331	3214.021227
332	3195.112612
333	3193.087809
334	3181.936468
335	3159.292778
336	3149.081792
337	3136.906429
338	3123.038316
339	3110.780363
340	3102.350351
341	3093.421491
342	3081.576919
343	3073.182078
344	3064.681498
345	3058.793757
346	3040.853751
347	3027.347915
348	3019.652124
349	3006.763901
350	2994.897792
351	2982.152906
352	2979.275783
353	2967.582507
354	2955.610938
355	2952.968694
356	2944.025336
357	2933.114006
358	2920.052757
359	2907.55158
360	2906.88009
361	2904.285514
362	2893.70004
363	2874.244596
364	2871.835195
365	2859.862612
366	2851.928161
367	2839.227086
368	2832.498947
369	2821.800519
370	2815.365488
371	2802.374684
372	2792.723712
373	2784.662914
374	2775.782353
375	2764.562428
376	2753.64962
377	2745.690989
378	2739.604807
379	2730.434634
380	2720.504607
381	2715.055232
382	2706.902352
383	2696.134833
384	2685.678445
385	2678.824471
386	2674.575499
387	2663.013379
388	2652.237261
389	2643.82284
390	2639.062302
391	2632.742474
392	2624.433595
393	2621.753583
394	2612.611912
395	2604.99309
396	2596.302958
397	2586.735843
398	2581.518958
399	2576.026697
400	2568.152199
401	2562.998751
402	2560.501775
403	2550.708676
404	2547.823891
405	2539.493852
406	2536.52822
407	2526.645188
408	2518.78576
409	2512.292576
410	2505.058187
411	2498.050318
412	2490.387949
413	2481.781251
414	2479.709437
415	2468.933415
416	2462.313865
417	2452.754694
418	2442.522787
419	2436.042774
420	2426.003701
421	2418.63856
422	2412.335101
423	2405.611896
424	2400.193748
425	2394.046953
426	2387.396902
427	2383.337904
428	2380.81284
429	2376.345066
430	2373.44439
431	2371.051483
432	2363.762534
433	2356.606182
434	2348.801709
435	2342.378868
436	2339.727998
437	2336.251942
438	2329.91293
439	2320.894689
440	2310.672295
441	2303.525119
442	2294.690585
443	2286.794639
444	2281.440442
445	2275.847059
446	2268.659867
447	2262.685878
448	2260.195308
449	2252.45379
450	2246.789651
