iter	Passed	Remaining
0	223	1115242
1	267	667351
2	310	516469
3	352	440196
4	375	375287
5	401	333927
6	419	299075
7	460	287187
8	501	277865
9	543	271294
10	583	264854
11	602	250391
12	645	247583
13	687	244784
14	729	242334
15	752	234548
16	774	226962
17	795	220285
18	816	214150
19	841	209645
20	862	204590
21	903	204499
22	937	202907
23	977	202712
24	1019	202839
25	1060	202847
26	1101	202928
27	1146	203597
28	1181	202481
29	1213	201025
30	1235	197995
31	1276	198232
32	1319	198633
33	1339	195597
34	1360	192971
35	1372	189231
36	1414	189703
37	1436	187621
38	1469	186914
39	1511	187420
40	1534	185584
41	1561	184384
42	1601	184649
43	1641	184944
44	1683	185389
45	1707	183930
46	1749	184385
47	1790	184676
48	1816	183550
49	1857	183856
50	1890	183406
51	1930	183705
52	1972	184111
53	1987	182052
54	2002	180007
55	2027	178989
56	2068	179398
57	2111	179883
58	2155	180551
59	2200	181193
60	2236	181085
61	2259	179962
62	2299	180233
63	2313	178465
64	2355	178821
65	2375	177549
66	2416	177931
67	2462	178573
68	2484	177559
69	2503	176282
70	2543	176557
71	2585	176945
72	2626	177280
73	2667	177578
74	2709	177930
75	2756	178604
76	2803	179233
77	2876	181492
78	2921	181959
79	2963	182255
80	3005	182534
81	3047	182785
82	3091	183144
83	3109	181957
84	3151	182229
85	3194	182506
86	3237	182805
87	3279	183051
88	3322	183356
89	3365	183616
90	3398	183355
91	3430	183024
92	3472	183224
93	3514	183450
94	3555	183592
95	3579	182836
96	3619	182963
97	3662	183217
98	3705	183429
99	3726	182601
100	3767	182723
101	3808	182898
102	3850	183065
103	3907	183938
104	3948	184080
105	3968	183226
106	4011	183452
107	4056	183734
108	4101	184042
109	4112	182814
110	4139	182343
111	4172	182091
112	4215	182312
113	4259	182568
114	4304	182834
115	4314	181645
116	4355	181776
117	4388	181561
118	4407	180767
119	4449	180936
120	4492	181150
121	4537	181406
122	4578	181528
123	4605	181098
124	4614	179971
125	4646	179730
126	4678	179527
127	4721	179718
128	4754	179513
129	4795	179664
130	4837	179810
131	4853	178991
132	4886	178818
133	4908	178228
134	4949	178368
135	4990	178501
136	5032	178636
137	5074	178791
138	5116	178939
139	5157	179047
140	5201	179234
141	5243	179374
142	5285	179525
143	5327	179650
144	5368	179748
145	5409	179840
146	5441	179653
147	5484	179788
148	5526	179919
149	5567	180015
150	5615	180313
151	5660	180549
152	5705	180735
153	5750	180940
154	5791	181019
155	5831	181089
156	5878	181337
157	5930	181754
158	5972	181832
159	6013	181915
160	6054	181964
161	6096	182067
162	6136	182112
163	6177	182172
164	6217	182205
165	6260	182316
166	6303	182419
167	6344	182470
168	6384	182506
169	6427	182613
170	6468	182679
171	6512	182814
172	6554	182884
173	6596	182953
174	6642	183140
175	6685	183254
176	6727	183321
177	6769	183378
178	6809	183409
179	6851	183467
180	6894	183556
181	6934	183566
182	6980	183755
183	7023	183838
184	7068	183977
185	7112	184089
186	7153	184113
187	7194	184136
188	7238	184245
189	7287	184476
190	7331	184598
191	7374	184664
192	7400	184317
193	7441	184338
194	7482	184376
195	7508	184040
196	7551	184108
197	7578	183795
198	7619	183831
199	7662	183903
200	7709	184071
201	7751	184125
202	7792	184147
203	7834	184178
204	7875	184213
205	7917	184252
206	7952	184128
207	7996	184227
208	8039	184303
209	8082	184348
210	8122	184349
211	8163	184366
212	8203	184374
213	8244	184381
214	8290	184508
215	8331	184534
216	8376	184624
217	8419	184679
218	8461	184713
219	8504	184776
220	8545	184788
221	8586	184795
222	8627	184823
223	8668	184834
224	8711	184867
225	8752	184893
226	8795	184932
227	8838	184986
228	8880	185016
229	8920	185012
230	8962	185026
231	9001	185004
232	9042	185002
233	9085	185044
234	9128	185090
235	9172	185159
236	9214	185183
237	9258	185246
238	9300	185274
239	9340	185261
240	9380	185235
241	9420	185223
242	9461	185225
243	9501	185209
244	9542	185205
245	9582	185192
246	9624	185199
247	9665	185199
248	9705	185186
249	9746	185183
250	9788	185194
251	9835	185308
252	9885	185479
253	9926	185475
254	9970	185538
255	10011	185526
256	10050	185490
257	10092	185503
258	10133	185496
259	10174	185485
260	10214	185473
261	10256	185471
262	10299	185500
263	10339	185482
264	10382	185511
265	10424	185520
266	10468	185578
267	10512	185624
268	10553	185608
269	10595	185612
270	10635	185590
271	10675	185572
272	10697	185224
273	10736	185190
274	10777	185174
275	10819	185186
276	10861	185194
277	10902	185182
278	10934	185017
279	10973	184989
280	11014	184974
281	11056	184979
282	11097	184977
283	11137	184947
284	11177	184922
285	11218	184904
286	11259	184895
287	11300	184887
288	11332	184735
289	11371	184696
290	11412	184676
291	11453	184671
292	11493	184647
293	11534	184625
294	11574	184598
295	11615	184595
296	11656	184574
297	11696	184558
298	11736	184526
299	11776	184500
300	11819	184510
301	11853	184389
302	11892	184359
303	11932	184330
304	11972	184305
305	12013	184288
306	12054	184268
307	12095	184253
308	12135	184233
309	12176	184224
310	12216	184191
311	12257	184181
312	12298	184160
313	12339	184143
314	12379	184113
315	12421	184123
316	12462	184109
317	12503	184091
318	12545	184099
319	12586	184076
320	12626	184048
321	12667	184031
322	12708	184014
323	12748	183985
324	12789	183971
325	12830	183963
326	12873	183970
327	12913	183939
328	12954	183920
329	12994	183895
330	13035	183878
331	13077	183872
332	13118	183851
333	13158	183830
334	13199	183805
335	13240	183787
336	13279	183751
337	13321	183748
338	13362	183729
339	13402	183690
340	13443	183676
341	13484	183657
342	13524	183623
343	13564	183595
344	13605	183580
345	13646	183554
346	13685	183516
347	13726	183492
348	13752	183270
349	13791	183234
350	13833	183226
351	13875	183218
352	13896	182941
353	13936	182909
354	13977	182887
355	13999	182626
356	14040	182602
357	14081	182581
358	14122	182563
359	14161	182532
360	14202	182504
361	14223	182234
362	14264	182211
363	14305	182196
364	14327	181939
365	14367	181912
366	14409	181899
367	14449	181876
368	14475	181673
369	14514	181630
370	14556	181619
371	14597	181603
372	14638	181583
373	14663	181378
374	14704	181353
375	14744	181330
376	14786	181320
377	14827	181300
378	14868	181289
379	14908	181261
380	14948	181230
381	14988	181201
382	15029	181176
383	15070	181155
384	15110	181129
385	15150	181102
386	15192	181093
387	15233	181074
388	15274	181054
389	15314	181022
390	15355	181003
391	15396	180982
392	15437	180963
393	15463	180772
394	15502	180727
395	15542	180701
396	15584	180688
397	15625	180675
398	15652	180496
399	15692	180463
400	15733	180440
401	15773	180416
402	15805	180296
403	15847	180290
404	15889	180279
405	15930	180261
406	15972	180252
407	16013	180228
408	16055	180218
409	16096	180197
410	16137	180187
411	16177	180156
412	16218	180133
413	16261	180130
414	16301	180106
415	16342	180081
416	16384	180072
417	16426	180063
418	16467	180039
419	16507	180007
420	16548	179992
421	16589	179970
422	16630	179951
423	16671	179924
424	16711	179893
425	16752	179869
426	16793	179855
427	16834	179832
428	16875	179807
429	16916	179790
430	16956	179757
431	16997	179737
432	17039	179717
433	17080	179698
434	17120	179669
435	17160	179636
436	17201	179608
437	17243	179595
438	17283	179568
439	17323	179537
440	17365	179519
441	17406	179502
442	17449	179500
443	17489	179464
444	17530	179441
445	17571	179414
446	17611	179389
447	17655	179393
448	17695	179359
449	17735	179327
450	17776	179299
451	17817	179280
452	17858	179253
453	17899	179234
454	17940	179203
455	17981	179187
456	18023	179169
457	18064	179141
458	18105	179118
459	18146	179100
460	18187	179074
461	18229	179056
462	18268	179020
463	18309	178988
464	18350	178965
465	18393	178958
466	18434	178936
467	18475	178909
468	18515	178879
469	18555	178845
470	18596	178819
471	18637	178797
472	18677	178762
473	18699	178554
474	18739	178515
475	18780	178492
476	18821	178472
477	18843	178266
478	18884	178235
479	18924	178207
480	18964	178172
481	19006	178153
482	19047	178135
483	19087	178097
484	19127	178064
485	19169	178048
486	19211	178031
487	19252	178008
488	19293	177981
489	19333	177947
490	19374	177922
491	19416	177908
492	19456	177872
493	19496	177837
494	19536	177799
495	19578	177780
496	19619	177762
497	19659	177728
498	19700	177699
499	19740	177664
500	19780	177628
501	19822	177611
502	19861	177569
503	19903	177551
504	19943	177517
505	19984	177489
506	20025	177468
507	20066	177441
508	20107	177408
509	20147	177378
510	20188	177354
511	20230	177336
512	20271	177304
513	20312	177277
514	20353	177251
515	20395	177232
516	20438	177225
517	20478	177191
518	20520	177170
519	20561	177146
520	20604	177132
521	20644	177099
522	20685	177069
523	20725	177036
524	20766	177008
525	20807	176979
526	20848	176954
527	20888	176920
528	20930	176903
529	20971	176873
530	21013	176854
531	21053	176821
532	21094	176793
533	21136	176770
534	21178	176750
535	21220	176735
536	21261	176705
537	21302	176672
538	21343	176647
539	21384	176616
540	21426	176601
541	21466	176562
542	21506	176528
543	21547	176498
544	21588	176469
545	21630	176447
546	21670	176411
547	21710	176375
548	21750	176341
549	21792	176320
550	21833	176292
551	21874	176261
552	21915	176233
553	21939	176068
554	21978	176029
555	22020	176009
556	22060	175969
557	22101	175937
558	22141	175900
559	22181	175868
560	22224	175853
561	22264	175819
562	22304	175782
563	22346	175762
564	22387	175729
565	22429	175712
566	22470	175682
567	22511	175656
568	22551	175618
569	22592	175590
570	22634	175562
571	22674	175527
572	22715	175496
573	22755	175464
574	22797	175438
575	22837	175400
576	22877	175364
577	22917	175333
578	22958	175300
579	22999	175273
580	23040	175243
581	23080	175207
582	23120	175168
583	23161	175141
584	23204	175122
585	23244	175085
586	23284	175053
587	23310	174907
588	23350	174869
589	23391	174843
590	23432	174812
591	23473	174779
592	23512	174739
593	23553	174710
594	23594	174679
595	23634	174640
596	23674	174604
597	23714	174563
598	23754	174528
599	23795	174499
600	23835	174462
601	23875	174426
602	23915	174390
603	23959	174381
604	24000	174353
605	24042	174325
606	24082	174289
607	24121	174249
608	24161	174208
609	24202	174179
610	24243	174150
611	24284	174116
612	24325	174086
613	24366	174057
614	24409	174038
615	24450	174012
616	24491	173977
617	24531	173940
618	24571	173903
619	24613	173880
620	24653	173843
621	24693	173810
622	24735	173782
623	24777	173761
624	24818	173727
625	24858	173694
626	24899	173661
627	24940	173628
628	24982	173605
629	25022	173565
630	25062	173529
631	25102	173489
632	25142	173457
633	25183	173426
634	25224	173394
635	25264	173352
636	25304	173316
637	25330	173182
638	25370	173149
639	25411	173117
640	25453	173090
641	25493	173051
642	25536	173035
643	25577	173008
644	25603	172876
645	25642	172829
646	25682	172794
647	25722	172752
648	25763	172722
649	25805	172695
